"Samuels-MacBook-Pro.local","Joey and Sams Test"
"osj-ace-01-prd","APEX Central Engineering"
"osj-ace-01-tst","APEX Central Engineering"
"osj-afw-01-prd","Atlas Framework"
"osj-afw-01-tst","Atlas Framework"
"osj-ait-01-prd","Application Infra Team"
"osj-ait-01-tst","Application Infra Team"
"osj-ame-01-prd","CSG Demo"
"osj-ame-01-tst","CSG Demo"
"osj-amz-01-prd","Amazonite"
"osj-amz-01-tst","Amazonite"
"osj-aoe-01-prd","APEX Offer Engineering"
"osj-aoe-01-tst","APEX Offer Engineering"
"osj-apx-01-prd","APEX MarketPlace"
"osj-apx-01-tst","APEX MarketPlace"
"osj-atl-01-prd","Atlantic project"
"osj-atl-01-tst","Atlantic project"
"osj-bdc-01-prd","IDRAC PG firmware group"
"osj-bdc-01-tst","IDRAC PG firmware group"
"osj-bgo-01-prd","BSAFE Public"
"osj-bgo-01-tst","BSAFE Public"
"osj-bio-01-prd","SIS BIOS"
"osj-bio-01-tst","SIS BIOS"
"osj-bst-01-prd","BIOS"
"osj-bst-01-tst","BIOS"
"osj-cde-01-prd","CDE"
"osj-cde-01-tst","CDE"
"osj-cir-01-prd","Cirrus (Future of IT)"
"osj-cir-01-tst","Cirrus (Future of IT)"
"osj-cla-01-prd","Glider"
"osj-cla-01-tst","Glider"
"osj-cla-02-prd","Isilon - ClarityNow"
"osj-cla-02-tst","Isilon - ClarityNow"
"osj-cla-03-prd","Isilon - ClarityNow"
"osj-cla-03-tst","Isilon - ClarityNow"
"osj-clj-01-prd","TechServ_IE (TechOps)"
"osj-clj-01-tst","TechServ_IE (TechOps)"
"osj-cmo-01-prd","SIS Common M&O Security"
"osj-cmo-01-tst","SIS Common M&O Security"
"osj-cmo-02-prd","Technical Engineering Services tools"
"osj-cmo-02-tst","Technical Engineering Services tools"
"osj-csw-01-prd","Power Sizer/IMSSE"
"osj-csw-01-tst","Power Sizer/IMSSE"
"osj-cyc-01-prd","Trident Data Path development team"
"osj-cyc-01-tst","Trident Data Path development team"
"osj-cyc-02-prd","Cyber Engineering Group"
"osj-cyc-02-tst","Cyber Engineering Group"
"osj-ddm-01-prd","DPA Data Domain QA"
"osj-ddm-01-tst","DPA Data Domain QA"
"osj-dlt-01-prd","Delta SOS"
"osj-dlt-01-tst","Delta SOS"
"osj-dmc-01-prd","Power Store-Data mobility Team"
"osj-dmc-01-tst","Power Store-Data mobility Team"
"osj-dnf-01-prd","ISG / Product Development Engineering"
"osj-dnf-01-tst","ISG / Product Development Engineering"
"osj-dng-01-prd","SmartFabric"
"osj-dng-01-tst","SmartFabric"
"osj-dng-02-prd","Networking STFS"
"osj-dng-02-tst","Networking STFS"
"osj-dng-03-prd","Dell Networking"
"osj-dng-03-tst","Dell Networking"
"osj-dpa-02-prd","DPA DDOS"
"osj-dpa-02-tst","DPA DDOS"
"osj-dpa-03-prd","DPA PPDM dpadswci"
"osj-dpa-03-tst","DPA PPDM dpadswci"
"osj-dpa-04-prd","DPA (ACM, PPOE CORE, PPOE & Santorini)"
"osj-dpa-04-tst","DPA (ACM, PPOE CORE, PPOE & Santorini)"
"osj-dpa-05-prd","DPA DDOS"
"osj-dpa-05-tst","DPA DDOS (BoostS,Calypso)"
"osj-dpa-06-prd","BoostFS SCL Cluster"
"osj-dpa-06-tst","BoostFS SCL Cluster"
"osj-dpa-07-prd","PowerProtect DD SCL Cluster"
"osj-dpa-07-tst","PowerProtect DD SCL Cluster"
"osj-dpm-01-prd","Data Management Avamar/Networker"
"osj-dpm-01-tst","Data Management Avamar/Networker"
"osj-dpm-02-prd","Data Management Avamar/Networker SCA"
"osj-dpm-02-tst","Data Management Avamar/Networker SCA"
"osj-dps-01-prd","Data Platform Services team"
"osj-dps-01-tst","Data Platform Services team"
"osj-drc-01-prd","Secondary Storage Engineering"
"osj-drc-01-tst","Secondary Storage Engineering"
"osj-dri-01-prd","DRI"
"osj-dri-01-tst","DRI"
"osj-drp-01-prd","IEO DevOps DRP"
"osj-drp-01-tst","IEO DevOps DRP"
"osj-dtc-01-prd","DTC/ Dell Technology Cloud"
"osj-dtc-01-tst","DTC/ Dell Technology Cloud"
"osj-dtm-01-prd","Dell Telemetry Manager"
"osj-dtm-01-tst","Dell Telemetry Manager"
"osj-ecs-01-prd","ECS (Unstructured Storage)"
"osj-ecs-01-tst","ECS (Unstructured Storage)"
"osj-ecs-02-prd","ECS (Unstructured Storage)"
"osj-ecs-02-tst","ECS (Unstructured Storage)"
"osj-ecs-04-prd","Object scale"
"osj-ecs-04-tst","Object scale"
"osj-efi-01-prd","UEFI"
"osj-efi-01-tst","UEFI"
"osj-eos-01-prd","Federated service"
"osj-eos-01-tst","Federated service"
"osj-es-01-prd","SCR(VFlex(OS) & VFlex())"
